Start Time,Duration (sec),Fixture,"Flow Rate Hot & Cold (gpm)","Flow Rate Hot Only (gpm)","Flow Rate Cold Only (gpm)"
1/3 3:39:00 PM,30,Sink 3,0.29,0.246,0.044
1/3 3:39:36 PM,30,Kitchen Sink,0.869,0.737,0.132
1/3 4:53:42 PM,42,Kitchen Sink,1.498,1.270,0.228
1/3 4:55:42 PM,18,Kitchen Sink,1.966,1.667,0.299
1/3 4:57:36 PM,42,Sink 2,0.955,0.810,0.145
1/3 4:59:30 PM,12,Kitchen Sink,1.065,0.903,0.162
1/3 5:01:30 PM,36,Kitchen Sink,1.661,1.408,0.253
1/3 5:03:24 PM,6,Sink 2,1.157,0.981,0.176
1/3 5:10:30 PM,30,Kitchen Sink,2.11,1.789,0.321
1/3 5:12:24 PM,12,Kitchen Sink,2.165,1.836,0.329
1/3 5:14:24 PM,6,Kitchen Sink,1.144,0.970,0.174
1/3 5:16:18 PM,30,Sink 4,0.909,0.771,0.138
1/3 6:04:54 PM,96,Kitchen Sink,0.923,0.783,0.140
1/3 7:40:36 PM,54,Kitchen Sink,0.242,0.205,0.037
1/3 9:23:54 PM,540,Shower 1,2.028,1.720,0.308
1/3 9:55:18 PM,36,Kitchen Sink,0.774,0.656,0.118
1/3 9:57:12 PM,12,Kitchen Sink,0.342,0.290,0.052
1/3 10:01:18 PM,78,DW1,1.305,1.305,0.000
1/3 10:11:06 PM,120,DW1,1.511,1.511,0.000
1/3 10:20:54 PM,54,DW1,1.474,1.474,0.000
1/3 10:30:42 PM,72,DW1,1.021,1.021,0.000
1/3 10:40:24 PM,72,DW1,1.575,1.575,0.000
1/4 4:58:54 AM,12,Sink 3,1.346,1.142,0.204
1/4 5:59:12 AM,48,CW,2.343,2.343,0.000
1/4 7:13:30 AM,12,CW,2.337,2.337,0.000
1/4 7:40:12 AM,6,Kitchen Sink,0.008,0.007,0.001
1/4 8:27:42 AM,60,CW,2.353,2.353,0.000
1/4 8:56:30 AM,126,Sink 4,1.97,1.671,0.299
1/4 8:58:24 AM,6,Sink 3,0.097,0.082,0.015
1/4 9:00:24 AM,12,Kitchen Sink,0.504,0.427,0.077
1/4 9:02:18 AM,6,Kitchen Sink,0.256,0.217,0.039
1/4 12:32:42 PM,78,Sink 4,1.168,0.991,0.177
1/4 12:44:18 PM,6,Kitchen Sink,0.181,0.154,0.027
1/4 2:43:54 PM,6,Kitchen Sink,0.01,0.008,0.002
1/4 2:45:54 PM,6,Sink 2,0.62,0.526,0.094
1/4 2:54:06 PM,12,Kitchen Sink,1.128,0.957,0.171
1/4 2:56:00 PM,54,Kitchen Sink,0.825,0.700,0.125
1/4 2:58:00 PM,192,Kitchen Sink,1.608,1.364,0.244
1/4 2:59:54 PM,30,Kitchen Sink,0.996,0.845,0.151
1/4 6:29:36 PM,66,Sink 4,2.073,1.758,0.315
1/4 8:09:30 PM,36,Kitchen Sink,1.042,0.884,0.158
1/4 8:11:24 PM,6,Sink 3,0.273,0.232,0.041
1/4 8:43:30 PM,36,Kitchen Sink,0.742,0.629,0.113
1/4 8:46:42 PM,12,Kitchen Sink,0.774,0.656,0.118
1/4 8:48:42 PM,84,Kitchen Sink,1.569,1.331,0.238
1/4 8:50:36 PM,6,Sink 2,0.563,0.477,0.086
1/4 8:52:30 PM,6,Kitchen Sink,0.181,0.154,0.027
1/4 10:19:42 PM,30,Sink 4,1.727,1.465,0.262
1/4 10:21:42 PM,6,Kitchen Sink,0.453,0.384,0.069
1/4 10:23:36 PM,6,Sink 3,0.553,0.469,0.084
1/5 12:13:00 AM,96,CW,2.338,2.338,0.000
1/5 12:53:42 AM,6,Kitchen Sink,1.343,1.139,0.204
1/5 12:55:36 AM,6,Kitchen Sink,0.006,0.005,0.001
1/5 1:27:12 AM,30,CW,2.633,2.633,0.000
1/5 2:51:42 AM,6,Kitchen Sink,0.07,0.059,0.011
1/5 7:16:00 AM,54,Kitchen Sink,0.967,0.820,0.147
1/5 7:18:00 AM,30,Kitchen Sink,1.876,1.591,0.285
1/5 7:19:54 AM,48,Kitchen Sink,0.865,0.734,0.131
1/5 7:20:48 AM,156,Kitchen Sink,0.834,0.707,0.127
1/5 7:21:48 AM,84,Sink 2,0.4,0.339,0.061
1/5 8:40:24 AM,72,CW,2.243,2.243,0.000
1/5 8:47:54 AM,6,Sink 3,2.184,1.853,0.331
1/5 9:07:12 AM,6,Sink 2,0.207,0.176,0.031
1/5 9:17:54 AM,12,Kitchen Sink,2.738,2.323,0.415
1/5 9:19:48 AM,66,Kitchen Sink,0.678,0.575,0.103
1/5 9:21:42 AM,36,Kitchen Sink,1.207,1.024,0.183
1/5 9:55:36 AM,66,Kitchen Sink,1.277,1.083,0.194
1/5 11:58:24 AM,30,Kitchen Sink,2.09,1.773,0.317
1/5 12:00:24 PM,6,Kitchen Sink,0.837,0.710,0.127
1/5 1:06:30 PM,48,Sink 2,2.127,1.804,0.323
1/5 1:08:30 PM,84,Kitchen Sink,1.59,1.349,0.241
