Start Time,Duration (sec),Fixture,"Flow Rate Hot & Cold (gpm)","Flow Rate Hot Only (gpm)","Flow Rate Cold Only (gpm)"
2/5 1:09:30 PM,6,Kitchen Sink,0.102,0.087,0.015
2/5 1:18:30 PM,30,Kitchen Sink,0.046,0.039,0.007
2/5 2:05:12 PM,12,Sink 3,0.089,0.076,0.013
2/5 2:29:36 PM,42,Kitchen Sink,1.124,0.957,0.167
2/5 2:31:30 PM,6,Sink 2,0.626,0.533,0.093
2/5 2:33:24 PM,12,Sink 2,1.034,0.880,0.154
2/5 3:32:24 PM,30,Sink 3,1.917,1.632,0.285
2/5 4:35:12 PM,12,Sink 4,1.311,1.116,0.195
2/5 4:44:18 PM,6,Kitchen Sink,1.255,1.068,0.187
2/5 4:49:12 PM,18,Kitchen Sink,0.103,0.088,0.015
2/5 4:51:06 PM,138,Kitchen Sink,1.588,1.352,0.236
2/5 4:53:00 PM,198,Kitchen Sink,0.759,0.646,0.113
2/5 5:23:18 PM,30,Kitchen Sink,1.848,1.573,0.275
2/5 6:00:54 PM,84,Kitchen Sink,0.05,0.043,0.007
2/5 6:17:30 PM,12,Kitchen Sink,0.26,0.221,0.039
2/5 7:00:30 PM,78,Sink 2,1.546,1.316,0.230
2/5 7:02:24 PM,12,Kitchen Sink,1.379,1.174,0.205
2/5 7:06:06 PM,120,Sink 3,1.945,1.655,0.290
2/5 7:08:06 PM,36,Kitchen Sink,0.787,0.670,0.117
2/5 7:14:54 PM,96,DW1,1.246,1.246,0.000
2/5 7:24:36 PM,114,DW1,1.101,1.101,0.000
2/5 7:34:24 PM,72,DW1,1.136,1.136,0.000
2/5 7:44:12 PM,114,DW1,1.202,1.202,0.000
2/5 7:53:54 PM,60,Kitchen Sink,0.615,0.523,0.092
2/5 7:54:00 PM,90,DW1,1.603,1.603,0.000
2/5 7:55:48 PM,18,Kitchen Sink,0.064,0.054,0.010
2/5 8:03:48 PM,108,DW1,1.545,1.545,0.000
2/5 9:22:36 PM,624,Bath 1,4.537,3.861,0.676
2/6 4:02:42 AM,6,Kitchen Sink,0.663,0.564,0.099
2/6 7:16:36 AM,12,Kitchen Sink,1.511,1.286,0.225
2/6 7:18:30 AM,36,Kitchen Sink,1.572,1.338,0.234
2/6 7:20:30 AM,12,Kitchen Sink,1.724,1.467,0.257
2/6 7:22:12 AM,6,Sink 2,0.554,0.472,0.082
2/6 7:22:24 AM,48,Kitchen Sink,0.197,0.168,0.029
2/6 7:24:18 AM,126,Kitchen Sink,0.997,0.849,0.148
2/6 7:26:18 AM,36,Kitchen Sink,0.501,0.426,0.075
2/6 7:33:36 AM,12,Kitchen Sink,1.525,1.298,0.227
2/6 7:49:00 AM,276,Bath 1,6.3,5.362,0.938
2/6 8:36:54 AM,18,Kitchen Sink,0.046,0.039,0.007
2/6 9:09:06 AM,48,Kitchen Sink,0.97,0.826,0.144
2/6 11:41:18 AM,72,CW,1.618,1.618,0.000
2/6 11:42:36 AM,6,Kitchen Sink,0.72,0.613,0.107
2/6 11:44:36 AM,102,Kitchen Sink,1.085,0.923,0.162
2/6 12:26:12 PM,6,Sink 2,0.204,0.174,0.030
2/6 2:19:12 PM,36,Sink 4,1.709,1.455,0.254
2/6 3:15:06 PM,6,Sink 4,0.577,0.491,0.086
2/6 3:21:48 PM,6,Sink 4,0.097,0.083,0.014
2/6 4:03:42 PM,12,Kitchen Sink,1.097,0.934,0.163
2/6 4:10:24 PM,6,Kitchen Sink,0.015,0.013,0.002
2/6 4:58:18 PM,78,Sink 3,0.793,0.675,0.118
2/6 5:33:30 PM,42,Sink 4,1.492,1.270,0.222
2/6 7:33:06 PM,84,Kitchen Sink,0.668,0.569,0.099
2/6 7:35:00 PM,132,Kitchen Sink,0.959,0.816,0.143
2/6 8:53:48 PM,528,Shower 2,0.34,0.289,0.051
2/6 9:34:12 PM,48,Kitchen Sink,1.454,1.237,0.217
2/6 9:54:12 PM,6,Sink 2,0.166,0.141,0.025
2/6 9:57:48 PM,18,Kitchen Sink,0.053,0.045,0.008
2/6 9:59:42 PM,90,Kitchen Sink,2.216,1.886,0.330
2/6 10:01:36 PM,12,Kitchen Sink,1.379,1.174,0.205
2/6 10:03:36 PM,36,Kitchen Sink,0.992,0.844,0.148
2/6 10:05:30 PM,36,Sink 2,1.078,0.917,0.161
2/6 11:25:42 PM,6,Kitchen Sink,0.558,0.475,0.083
2/7 5:58:18 AM,126,Kitchen Sink,1.089,0.927,0.162
2/7 6:51:18 AM,6,Kitchen Sink,0.044,0.037,0.007
2/7 6:59:36 AM,24,Kitchen Sink,0.669,0.569,0.100
2/7 7:41:48 AM,6,Sink 2,0.025,0.021,0.004
2/7 7:44:54 AM,12,Sink 2,0.75,0.638,0.112
2/7 7:46:54 AM,18,Kitchen Sink,1.339,1.140,0.199
2/7 8:12:12 AM,6,Kitchen Sink,1.775,1.511,0.264
2/7 8:14:06 AM,48,Kitchen Sink,1.187,1.010,0.177
2/7 9:59:30 AM,78,Kitchen Sink,0.509,0.433,0.076
2/7 10:02:00 AM,126,Sink 2,1.267,1.078,0.189
2/7 11:11:06 AM,42,Sink 4,0.85,0.723,0.127
2/7 1:54:42 PM,24,Kitchen Sink,1.847,1.572,0.275
2/7 4:19:36 PM,24,Kitchen Sink,1.706,1.452,0.254
2/7 4:50:00 PM,36,Kitchen Sink,0.649,0.552,0.097
2/7 4:51:54 PM,6,Sink 3,0.426,0.363,0.063
2/7 7:12:06 PM,60,Sink 2,1.595,1.358,0.237
2/7 8:49:42 PM,24,Kitchen Sink,1.274,1.084,0.190
2/7 8:51:06 PM,42,Kitchen Sink,2.299,1.957,0.342
2/7 8:51:36 PM,18,Kitchen Sink,0.3,0.255,0.045
2/7 8:53:06 PM,72,Sink 4,0.051,0.043,0.008
2/7 8:53:30 PM,6,Kitchen Sink,1.762,1.500,0.262
2/8 6:50:00 AM,54,Kitchen Sink,2.265,1.928,0.337
2/8 6:51:54 AM,12,Kitchen Sink,1.183,1.007,0.176
2/8 7:48:42 AM,12,Kitchen Sink,0.454,0.386,0.068
2/8 8:02:18 AM,18,Kitchen Sink,0.161,0.137,0.024
2/8 8:34:48 AM,126,DW1,1.071,1.071,0.000
2/8 8:38:54 AM,30,Kitchen Sink,1.735,1.477,0.258
2/8 8:44:36 AM,72,DW1,1.491,1.491,0.000
2/8 8:54:24 AM,72,DW1,1.558,1.558,0.000
2/8 9:04:12 AM,102,DW1,1.443,1.443,0.000
2/8 9:13:54 AM,72,DW1,1.226,1.226,0.000
2/8 9:23:42 AM,108,DW1,1.57,1.570,0.000
2/8 9:44:18 AM,6,Kitchen Sink,1.34,1.140,0.200
2/8 9:46:12 AM,36,Kitchen Sink,0.931,0.792,0.139
2/8 9:48:06 AM,30,Kitchen Sink,1.741,1.482,0.259
2/8 9:50:06 AM,24,Kitchen Sink,2.417,2.057,0.360
2/8 9:52:00 AM,12,Kitchen Sink,1.318,1.122,0.196
2/8 9:53:54 AM,24,Sink 4,0.812,0.691,0.121
2/8 11:59:18 AM,168,Bath 1,6.121,5.210,0.911
2/8 12:38:00 PM,78,Kitchen Sink,0.757,0.644,0.113
2/8 12:49:36 PM,48,Kitchen Sink,1.295,1.102,0.193
2/8 12:51:30 PM,6,Kitchen Sink,1.152,0.980,0.172
2/8 1:03:18 PM,6,Sink 3,0.481,0.409,0.072
2/8 1:05:12 PM,6,Sink 2,0.026,0.022,0.004
2/8 1:20:54 PM,18,Kitchen Sink,1.655,1.409,0.246
2/8 1:45:30 PM,6,Kitchen Sink,0.245,0.209,0.036
2/8 2:02:18 PM,6,Kitchen Sink,0.417,0.355,0.062
2/8 4:00:48 PM,6,Kitchen Sink,0.443,0.377,0.066
2/8 5:29:42 PM,12,Kitchen Sink,1.992,1.695,0.297
2/8 6:16:18 PM,708,Shower 1,2.345,1.996,0.349
2/8 7:20:24 PM,6,Kitchen Sink,0.232,0.197,0.035
2/8 8:27:42 PM,6,Kitchen Sink,0.484,0.412,0.072
2/8 8:29:42 PM,54,Kitchen Sink,1.101,0.937,0.164
2/8 9:51:30 PM,24,Kitchen Sink,1.527,1.300,0.227
2/8 9:56:48 PM,6,Kitchen Sink,0.47,0.400,0.070
2/8 9:58:48 PM,12,Sink 3,0.164,0.140,0.024
2/8 10:00:42 PM,12,Kitchen Sink,1.748,1.488,0.260
2/8 10:02:18 PM,42,Kitchen Sink,0.503,0.428,0.075
2/8 10:02:36 PM,36,Kitchen Sink,1.329,1.131,0.198
2/8 10:04:12 PM,96,Sink 2,1.536,1.307,0.229
2/8 10:04:36 PM,18,Kitchen Sink,1.772,1.508,0.264
2/8 10:06:06 PM,6,Kitchen Sink,0.005,0.004,0.001
2/8 10:06:30 PM,12,Sink 4,0.617,0.525,0.092
2/8 10:08:24 PM,36,Sink 4,1.768,1.505,0.263
2/8 10:10:24 PM,54,Kitchen Sink,1.238,1.054,0.184
2/8 10:12:18 PM,24,Kitchen Sink,1.703,1.449,0.254
2/8 10:14:12 PM,6,Kitchen Sink,1.482,1.261,0.221
2/8 10:16:12 PM,36,Kitchen Sink,1.585,1.349,0.236
2/8 10:19:12 PM,582,Shower 1,2.704,2.301,0.403
2/8 10:48:30 PM,48,Kitchen Sink,1.81,1.541,0.269
2/9 4:25:36 AM,6,Sink 4,0.351,0.299,0.052
2/9 6:17:00 AM,834,Shower 2,2.634,2.242,0.392
2/9 6:28:30 AM,30,Sink 2,1.258,1.071,0.187
2/9 6:30:24 AM,6,Sink 2,0.605,0.515,0.090
2/9 6:32:24 AM,18,Sink 3,1.25,1.064,0.186
2/9 6:34:18 AM,18,Sink 4,0.055,0.047,0.008
2/9 7:16:36 AM,54,Sink 2,0.05,0.043,0.007
2/9 7:29:12 AM,18,Sink 4,1.41,1.200,0.210
2/9 8:59:54 AM,6,Kitchen Sink,0.231,0.197,0.034
2/9 9:18:18 AM,18,Kitchen Sink,1.576,1.341,0.235
2/9 9:20:18 AM,18,Kitchen Sink,0.154,0.131,0.023
2/9 9:54:18 AM,12,Kitchen Sink,2.088,1.777,0.311
2/9 10:24:54 AM,48,Sink 4,0.986,0.839,0.147
2/9 10:26:48 AM,84,Kitchen Sink,0.805,0.685,0.120
2/9 10:47:06 AM,6,Kitchen Sink,0.464,0.395,0.069
2/9 3:11:24 PM,210,Kitchen Sink,0.99,0.843,0.147
2/9 3:22:18 PM,252,Shower 2,3.162,2.691,0.471
2/9 3:31:36 PM,24,Kitchen Sink,0.551,0.469,0.082
2/9 4:01:00 PM,30,Kitchen Sink,1.462,1.244,0.218
2/9 5:50:00 PM,6,Kitchen Sink,0.122,0.104,0.018
2/9 6:21:24 PM,54,Kitchen Sink,1.151,0.980,0.171
2/9 6:23:18 PM,6,Kitchen Sink,1.054,0.897,0.157
2/9 6:40:36 PM,30,Kitchen Sink,0.987,0.840,0.147
2/9 6:42:30 PM,18,Kitchen Sink,0.977,0.832,0.145
2/9 6:44:24 PM,114,Kitchen Sink,1.24,1.055,0.185
2/9 7:02:24 PM,30,Sink 2,1.038,0.883,0.155
2/9 7:11:24 PM,24,Kitchen Sink,1.787,1.521,0.266
2/9 7:13:18 PM,6,Sink 2,0.439,0.374,0.065
2/9 8:42:54 PM,48,Sink 3,1.511,1.286,0.225
2/9 9:01:06 PM,30,Kitchen Sink,1.49,1.268,0.222
2/9 10:46:18 PM,24,Kitchen Sink,2.032,1.729,0.303
2/9 10:48:18 PM,54,Kitchen Sink,0.624,0.531,0.093
2/9 11:41:30 PM,54,Sink 3,1.581,1.346,0.235
2/10 2:31:30 AM,12,Kitchen Sink,1.563,1.330,0.233
2/10 2:33:30 AM,102,Sink 4,0.808,0.688,0.120
2/10 2:35:24 AM,30,Kitchen Sink,1.183,1.007,0.176
2/10 6:01:06 AM,210,Shower 1,2.1,1.787,0.313
2/10 7:07:06 AM,6,Sink 4,1.369,1.165,0.204
2/10 7:09:00 AM,12,Kitchen Sink,1.12,0.953,0.167
2/10 8:27:00 AM,108,Kitchen Sink,2.19,1.864,0.326
2/10 9:05:24 AM,54,Sink 3,0.049,0.042,0.007
2/10 9:23:00 AM,42,Kitchen Sink,0.678,0.577,0.101
2/10 10:14:30 AM,6,Kitchen Sink,0.1,0.085,0.015
2/10 10:57:48 AM,30,Kitchen Sink,1.623,1.381,0.242
2/10 11:55:36 AM,6,Kitchen Sink,0.484,0.412,0.072
2/10 11:57:18 AM,18,Sink 4,1.254,1.067,0.187
2/10 12:38:00 PM,60,Kitchen Sink,1.591,1.354,0.237
2/10 1:07:36 PM,6,Kitchen Sink,0.67,0.570,0.100
2/10 1:09:36 PM,84,Kitchen Sink,1.654,1.408,0.246
2/10 1:32:36 PM,6,Kitchen Sink,0.617,0.525,0.092
2/10 3:01:30 PM,6,Kitchen Sink,1.652,1.406,0.246
2/10 3:45:00 PM,18,Kitchen Sink,1.932,1.644,0.288
2/10 3:47:00 PM,102,Kitchen Sink,2.013,1.713,0.300
2/10 5:23:42 PM,174,Kitchen Sink,1.147,0.976,0.171
2/10 5:25:36 PM,84,Kitchen Sink,1.432,1.219,0.213
2/10 5:27:36 PM,24,Sink 3,1.954,1.663,0.291
2/10 5:40:54 PM,6,Sink 2,0.146,0.124,0.022
2/10 5:42:48 PM,24,Kitchen Sink,1.086,0.924,0.162
2/10 5:44:42 PM,102,Kitchen Sink,1.614,1.374,0.240
2/10 6:23:48 PM,12,Sink 4,0.791,0.673,0.118
2/10 6:24:42 PM,54,Kitchen Sink,1.277,1.087,0.190
2/10 6:25:42 PM,18,Kitchen Sink,1.367,1.163,0.204
2/10 6:36:24 PM,60,Sink 2,1.991,1.695,0.296
2/10 6:38:18 PM,36,Kitchen Sink,0.277,0.236,0.041
2/10 6:45:48 PM,30,Kitchen Sink,0.561,0.477,0.084
2/10 6:47:48 PM,12,Kitchen Sink,1.104,0.940,0.164
2/10 6:49:42 PM,6,Kitchen Sink,0.705,0.600,0.105
2/10 7:30:24 PM,42,CW,2.127,2.127,0.000
2/10 7:41:36 PM,54,Kitchen Sink,1.29,1.098,0.192
2/10 7:43:30 PM,42,Kitchen Sink,0.562,0.478,0.084
2/10 7:56:00 PM,18,Kitchen Sink,1.525,1.298,0.227
2/10 8:07:12 PM,6,Kitchen Sink,0.566,0.482,0.084
2/10 8:09:06 PM,30,Kitchen Sink,0.131,0.111,0.020
2/10 8:11:06 PM,24,Kitchen Sink,1.789,1.523,0.266
2/10 8:16:48 PM,12,Kitchen Sink,1.585,1.349,0.236
2/10 9:04:24 PM,96,DW1,1.341,1.341,0.000
2/10 9:14:12 PM,84,DW1,1.387,1.387,0.000
2/10 9:23:54 PM,90,DW1,1.71,1.710,0.000
2/10 9:33:42 PM,72,DW1,0.947,0.947,0.000
2/10 9:50:24 PM,24,Sink 4,1.119,0.952,0.167
2/11 3:09:48 AM,48,Kitchen Sink,1.111,0.946,0.165
2/11 3:11:42 AM,216,Kitchen Sink,0.672,0.572,0.100
2/11 3:13:36 AM,78,Kitchen Sink,1.085,0.923,0.162
2/11 3:15:30 AM,6,Kitchen Sink,2.506,2.133,0.373
2/11 3:17:30 AM,48,Kitchen Sink,1.425,1.213,0.212
2/11 3:19:24 AM,72,Kitchen Sink,1.526,1.299,0.227
2/11 5:50:12 AM,474,Shower 1,2.045,1.741,0.304
2/11 6:39:54 AM,60,Kitchen Sink,0.52,0.443,0.077
2/11 6:41:48 AM,6,Kitchen Sink,0.959,0.816,0.143
2/11 7:39:36 AM,6,Kitchen Sink,0.933,0.794,0.139
2/11 7:59:36 AM,12,Kitchen Sink,1.033,0.879,0.154
2/11 8:30:06 AM,18,Kitchen Sink,0.629,0.535,0.094
2/11 8:32:06 AM,6,Kitchen Sink,0.162,0.138,0.024
2/11 8:34:00 AM,12,Sink 3,2.063,1.756,0.307
2/11 9:11:54 AM,84,CW,1.42,1.420,0.000
2/11 10:09:18 AM,36,Sink 4,1.51,1.285,0.225
2/11 10:11:12 AM,18,Sink 4,0.043,0.037,0.006
2/11 10:45:42 AM,72,DW1,1.514,1.514,0.000
2/11 10:46:36 AM,18,Kitchen Sink,1.699,1.446,0.253
2/11 10:48:36 AM,6,Sink 2,0.186,0.158,0.028
2/11 10:55:30 AM,90,DW1,1.267,1.267,0.000
2/11 11:05:12 AM,90,DW1,1.08,1.080,0.000
2/11 11:15:00 AM,60,DW1,1.46,1.460,0.000
2/11 11:24:48 AM,66,DW1,1.197,1.197,0.000
2/11 11:40:00 AM,18,Kitchen Sink,0.998,0.849,0.149
2/11 11:42:00 AM,102,Kitchen Sink,0.837,0.712,0.125
2/11 11:47:06 AM,36,Kitchen Sink,1.461,1.243,0.218
2/11 1:38:36 PM,60,Kitchen Sink,1.164,0.991,0.173
2/11 1:40:36 PM,6,Kitchen Sink,0.687,0.585,0.102
2/11 1:42:30 PM,36,Kitchen Sink,0.046,0.039,0.007
2/11 1:44:24 PM,24,Sink 2,0.946,0.805,0.141
2/11 1:46:24 PM,48,Kitchen Sink,0.678,0.577,0.101
2/11 1:50:30 PM,30,Kitchen Sink,0.325,0.277,0.048
2/11 2:03:00 PM,120,Sink 2,1.633,1.390,0.243
2/11 2:58:36 PM,66,CW,1.622,1.622,0.000
2/11 3:03:36 PM,90,CW,2.577,2.577,0.000
2/11 3:08:36 PM,36,CW,2.119,2.119,0.000
2/11 3:13:36 PM,66,CW,2.849,2.849,0.000
2/11 4:09:12 PM,6,Kitchen Sink,0.441,0.375,0.066
2/11 4:12:54 PM,66,CW,1.455,1.455,0.000
2/11 4:17:54 PM,84,CW,3.135,3.135,0.000
2/11 4:22:54 PM,72,CW,2.055,2.055,0.000
2/11 4:27:48 PM,24,CW,2.579,2.579,0.000
2/11 5:03:54 PM,48,Kitchen Sink,2.114,1.799,0.315
2/11 5:05:48 PM,276,Kitchen Sink,0.941,0.801,0.140
2/11 5:32:12 PM,36,Kitchen Sink,2.225,1.894,0.331
2/11 6:07:30 PM,30,Kitchen Sink,1.628,1.386,0.242
2/11 6:46:30 PM,6,Sink 2,0.692,0.589,0.103
2/11 6:48:24 PM,36,Kitchen Sink,0.857,0.729,0.128
2/11 7:31:18 PM,60,Sink 2,1.506,1.282,0.224
2/11 7:33:18 PM,24,Kitchen Sink,1.147,0.976,0.171
2/11 7:40:30 PM,96,Kitchen Sink,0.886,0.754,0.132
2/11 7:42:24 PM,72,Sink 4,0.761,0.648,0.113
2/11 8:19:12 PM,642,Shower 1,1.412,1.202,0.210
2/11 9:37:12 PM,156,Sink 2,2.017,1.717,0.300
2/11 9:41:06 PM,42,Kitchen Sink,0.255,0.217,0.038
2/12 12:13:54 AM,18,Kitchen Sink,0.771,0.656,0.115
2/12 4:39:06 AM,12,Kitchen Sink,0.639,0.544,0.095
2/12 4:41:00 AM,54,Kitchen Sink,1.374,1.169,0.205
2/12 6:51:48 AM,6,Sink 3,0.508,0.432,0.076
2/12 6:53:48 AM,12,Kitchen Sink,1.062,0.904,0.158
2/12 7:08:48 AM,24,Kitchen Sink,1.867,1.589,0.278
2/12 7:09:24 AM,30,Sink 2,0.815,0.694,0.121
2/12 7:10:42 AM,54,Kitchen Sink,1.159,0.986,0.173
2/12 7:33:36 AM,216,Shower 2,2.478,2.109,0.369
2/12 7:42:00 AM,48,Kitchen Sink,0.653,0.556,0.097
2/12 7:43:54 AM,48,Sink 2,0.715,0.609,0.106
2/12 8:04:12 AM,510,Shower 1,1.431,1.218,0.213
2/12 8:56:06 AM,6,Sink 4,0.095,0.081,0.014
2/12 8:58:06 AM,6,Sink 2,0.749,0.637,0.112
2/12 9:00:00 AM,6,Kitchen Sink,0.266,0.226,0.040
2/12 11:18:12 AM,60,DW1,1.711,1.711,0.000
2/12 11:28:00 AM,36,DW1,1.332,1.332,0.000
2/12 11:37:42 AM,90,DW1,1.608,1.608,0.000
2/12 11:47:30 AM,102,DW1,1.347,1.347,0.000
2/12 11:57:18 AM,108,DW1,1.32,1.320,0.000
2/12 12:07:06 PM,90,DW1,1.127,1.127,0.000
2/12 1:01:24 PM,12,Kitchen Sink,1.355,1.153,0.202
2/12 1:03:18 PM,18,Kitchen Sink,1.129,0.961,0.168
2/12 1:14:42 PM,18,Kitchen Sink,2.075,1.766,0.309
2/12 1:56:48 PM,18,Sink 2,0.661,0.563,0.098
2/12 2:42:36 PM,72,CW,1.439,1.439,0.000
2/12 3:54:54 PM,96,Kitchen Sink,0.53,0.451,0.079
2/12 3:56:48 PM,6,Kitchen Sink,1.162,0.989,0.173
2/12 3:58:48 PM,30,Kitchen Sink,1.437,1.223,0.214
2/12 4:08:30 PM,42,Kitchen Sink,0.783,0.666,0.117
2/12 5:54:06 PM,174,Kitchen Sink,1.419,1.208,0.211
2/12 5:56:06 PM,54,Sink 3,1.622,1.380,0.242
2/12 5:58:00 PM,78,Sink 3,1.937,1.649,0.288
2/12 6:03:54 PM,6,Kitchen Sink,0.042,0.036,0.006
2/12 6:05:48 PM,6,Sink 4,0.135,0.115,0.020
2/12 6:07:42 PM,66,Kitchen Sink,1.288,1.096,0.192
2/12 6:09:42 PM,72,Kitchen Sink,0.205,0.174,0.031
2/12 6:47:48 PM,90,Sink 4,1.116,0.950,0.166
2/12 6:56:48 PM,48,Kitchen Sink,1.114,0.948,0.166
2/12 8:56:06 PM,6,Kitchen Sink,0.775,0.660,0.115
2/12 10:18:18 PM,42,Kitchen Sink,1.635,1.392,0.243
2/12 10:46:48 PM,12,Kitchen Sink,0.057,0.049,0.008
2/12 11:19:18 PM,114,Kitchen Sink,1.644,1.399,0.245
2/13 6:02:18 AM,30,Sink 4,1.429,1.216,0.213
2/13 6:32:06 AM,6,Kitchen Sink,0.326,0.277,0.049
2/13 6:37:30 AM,18,Kitchen Sink,0.793,0.675,0.118
2/13 6:44:30 AM,6,Kitchen Sink,1,0.851,0.149
2/13 6:46:24 AM,6,Kitchen Sink,0.334,0.284,0.050
2/13 8:01:42 AM,6,Sink 4,0.419,0.357,0.062
2/13 8:03:36 AM,36,Kitchen Sink,1.268,1.079,0.189
2/13 10:04:24 AM,6,Kitchen Sink,0.02,0.017,0.003
2/13 10:54:06 AM,24,Kitchen Sink,1.007,0.857,0.150
2/13 11:41:00 AM,18,Sink 2,1.292,1.100,0.192
2/13 11:42:54 AM,72,Kitchen Sink,1.806,1.537,0.269
2/13 11:44:54 AM,12,Kitchen Sink,2.011,1.712,0.299
2/13 11:46:48 AM,12,Sink 3,1.237,1.053,0.184
2/13 11:48:42 AM,144,Kitchen Sink,0.969,0.825,0.144
2/13 11:50:42 AM,18,Sink 4,1.458,1.241,0.217
2/13 12:10:12 PM,12,Kitchen Sink,0.447,0.380,0.067
2/13 12:27:36 PM,18,Sink 4,1.58,1.345,0.235
2/13 3:24:12 PM,6,Kitchen Sink,1.337,1.138,0.199
2/13 4:34:54 PM,96,Sink 2,1.341,1.141,0.200
2/13 4:36:48 PM,24,Kitchen Sink,0.896,0.763,0.133
2/13 4:38:42 PM,54,Kitchen Sink,0.915,0.779,0.136
2/13 5:50:30 PM,60,Kitchen Sink,1.126,0.958,0.168
2/13 5:52:30 PM,66,Kitchen Sink,1.833,1.560,0.273
2/13 5:54:24 PM,96,Sink 2,0.068,0.058,0.010
2/13 8:37:06 PM,6,Kitchen Sink,0.246,0.209,0.037
2/13 8:39:00 PM,12,Sink 3,1.777,1.512,0.265
2/13 8:41:00 PM,12,Sink 3,0.882,0.751,0.131
2/13 8:42:54 PM,90,Sink 3,0.363,0.309,0.054
2/13 8:44:48 PM,60,Sink 3,0.405,0.345,0.060
2/13 8:58:06 PM,6,Sink 2,0.309,0.263,0.046
2/13 9:00:00 PM,6,Kitchen Sink,0.343,0.292,0.051
2/13 9:39:36 PM,36,Sink 3,2.337,1.989,0.348
2/13 9:41:36 PM,126,Kitchen Sink,1.211,1.031,0.180
2/13 9:42:48 PM,18,Kitchen Sink,1.82,1.549,0.271
2/13 10:54:24 PM,24,Sink 2,1.093,0.930,0.163
2/13 10:56:24 PM,30,Kitchen Sink,2.063,1.756,0.307
2/14 1:25:06 AM,138,Kitchen Sink,1.299,1.106,0.193
2/14 7:16:54 AM,6,Kitchen Sink,1.039,0.884,0.155
2/14 7:53:30 AM,66,Sink 4,1.357,1.155,0.202
2/14 8:25:12 AM,42,Kitchen Sink,1.272,1.083,0.189
2/14 8:27:06 AM,18,Kitchen Sink,2.539,2.161,0.378
2/14 10:11:24 AM,30,CW,2.317,2.317,0.000
2/14 11:12:24 AM,852,Shower 1,2.722,2.317,0.405
2/14 11:25:42 AM,114,CW,2.956,2.956,0.000
2/14 11:35:06 AM,6,CW,1.263,1.263,0.000
2/14 11:51:54 AM,6,Kitchen Sink,0.577,0.491,0.086
2/14 11:53:48 AM,42,Kitchen Sink,1.778,1.513,0.265
2/14 11:55:42 AM,12,Sink 2,1.412,1.202,0.210
2/14 12:49:24 PM,42,CW,2.424,2.424,0.000
2/14 12:59:06 PM,6,Sink 3,0.9,0.766,0.134
2/14 1:01:00 PM,84,Kitchen Sink,0.988,0.841,0.147
2/14 2:03:42 PM,30,CW,2.024,2.024,0.000
2/14 3:17:54 PM,72,CW,2.158,2.158,0.000
2/14 3:59:24 PM,48,Sink 2,0.21,0.179,0.031
2/14 4:48:00 PM,24,Kitchen Sink,0.713,0.607,0.106
2/14 4:49:54 PM,30,Sink 3,2.322,1.976,0.346
2/14 5:25:36 PM,84,Kitchen Sink,1.475,1.255,0.220
2/14 5:37:30 PM,48,Kitchen Sink,0.516,0.439,0.077
2/14 5:41:42 PM,48,Kitchen Sink,1.123,0.956,0.167
2/14 5:47:06 PM,24,Kitchen Sink,0.575,0.489,0.086
2/14 5:49:00 PM,24,Kitchen Sink,1.094,0.931,0.163
2/14 5:50:54 PM,6,Sink 2,0.601,0.511,0.090
2/14 5:52:54 PM,60,Sink 4,0.643,0.547,0.096
2/14 6:18:48 PM,6,Sink 2,0.022,0.019,0.003
2/14 6:59:48 PM,168,Bath 1,3.837,3.266,0.571
2/14 7:26:48 PM,6,Kitchen Sink,0.073,0.062,0.011
2/14 7:33:30 PM,12,Kitchen Sink,1.697,1.444,0.253
2/14 7:39:18 PM,654,Shower 1,2.657,2.261,0.396
2/14 9:17:48 PM,60,Kitchen Sink,0.773,0.658,0.115
2/14 11:53:42 PM,12,Kitchen Sink,1.698,1.445,0.253
2/15 12:50:06 AM,18,Kitchen Sink,1.465,1.247,0.218
2/15 8:04:24 AM,6,Kitchen Sink,0.411,0.350,0.061
2/15 8:08:42 AM,72,Sink 3,0.937,0.797,0.140
2/15 9:05:24 AM,156,Sink 2,0.545,0.464,0.081
2/15 9:13:42 AM,42,Kitchen Sink,2.123,1.807,0.316
2/15 9:15:36 AM,48,Sink 2,0.319,0.271,0.048
2/15 9:51:54 AM,138,Kitchen Sink,0.291,0.248,0.043
2/15 9:53:48 AM,6,Sink 2,0.731,0.622,0.109
2/15 10:05:42 AM,60,Sink 3,1.906,1.622,0.284
2/15 10:43:30 AM,24,Kitchen Sink,1.623,1.381,0.242
2/15 10:45:30 AM,6,Kitchen Sink,1.341,1.141,0.200
2/15 10:47:24 AM,48,Kitchen Sink,1.211,1.031,0.180
2/15 3:07:00 PM,24,CW,2.134,2.134,0.000
2/15 3:20:54 PM,6,Kitchen Sink,0.788,0.671,0.117
2/15 3:22:48 PM,30,Kitchen Sink,1.727,1.470,0.257
2/15 3:58:42 PM,78,Kitchen Sink,2.192,1.865,0.327
2/15 4:00:36 PM,96,Kitchen Sink,1.875,1.596,0.279
2/15 4:42:48 PM,12,Sink 3,1.692,1.440,0.252
2/15 6:33:06 PM,54,Sink 2,0.051,0.043,0.008
2/15 6:35:00 PM,6,Sink 4,0.323,0.275,0.048
2/15 7:28:06 PM,6,Sink 2,0.658,0.560,0.098
2/15 8:00:24 PM,6,Kitchen Sink,0.163,0.139,0.024
